# fecha: 2026-09-15T11:37:36
# python: 3.14.2
# numpy: 2.4.3
# sha_v7: 3db0475ef0ea95ce
# sha_v7i: ddc6ad2816c965f6
# sha_este: 814fce58e7409a05
# NS: 20
# T: 100000
# condiciones: {"D_comida_solB0": ["{'nuevo': 'D', 'nuevo_val': 'comida', 'solap_B': 0}", "BD", 0], "D_comida_solB1": ["{'nuevo': 'D', 'nuevo_val': 'comida', 'solap_B': 1}", "BD", 1], "D_comida_solB2": ["{'nuevo': 'D', 'nuevo_val': 'comida', 'solap_B': 2}", "BD", 2], "AB0": ["{}", "AB", 0], "AB1": ["{'solap_AB': 1}", "AB", 1], "AB2": ["{'solap_AB': 2}", "AB", 2], "AB3": ["{'solap_AB': 3}", "AB", 3], "E2I_C_libre": ["{'nuevo': 'C'}", "AC", null], "CTRL_D_veneno_solB1": ["{'nuevo': 'D', 'nuevo_val': 'veneno', 'solap_B': 1}", "BD", 1], "CTRL_D_veneno_solB2": ["{'nuevo': 'D', 'nuevo_val': 'veneno', 'solap_B': 2}", "BD", 2]}
cond,seed,plast,solap_nominal,solap_par,solap_medido,solap_AB,solap_AC,solap_AD,solap_BC,solap_BD,solap_CD,splits,celdas,primer_split,estimulos_split,W_A,W_B,W_C,W_D,err_max,err_max_A,err_max_B,err_max_C,err_max_D,deaths
AB0,14,False,0,AB,0,0,0,0,0,2,0,0,30,,,1.0,-3.0,0.0,-2.0,0.4425,0.1475,0.4425,0.0,0.0,142
AB0,15,False,0,AB,0,0,2,0,0,1,1,0,30,,,1.0,-3.0,0.67,-1.0,0.4425,0.1475,0.4425,0.0,0.0,154
AB0,16,False,0,AB,0,0,0,0,0,0,2,0,30,,,1.0,-3.0,0.0,0.0,0.4425,0.1475,0.4425,0.0,0.0,137
AB0,17,False,0,AB,0,0,0,0,0,0,0,0,30,,,1.0,-3.0,0.0,0.0,0.4425,0.1475,0.4425,0.0,0.0,137
AB0,18,False,0,AB,0,0,0,0,2,3,2,0,30,,,1.0,-3.0,-2.0,-3.0,0.4425,0.1475,0.4425,0.0,0.0,142
AB0,19,False,0,AB,0,0,0,0,1,1,0,0,30,,,1.0,-3.0,-1.0,-1.0,0.4425,0.1475,0.4425,0.0,0.0,150
AB0,20,False,0,AB,0,0,1,1,0,1,1,0,30,,,1.0,-3.0,0.33,-0.67,0.4425,0.1475,0.4425,0.0,0.0,175
AB1,1,True,1,AB,1,1,1,1,1,1,2,0,30,,,1.0,-2.99,-0.5,-0.5,0.5789,0.5765,0.5789,0.0,0.0,143
AB1,2,True,1,AB,1,1,0,0,1,1,1,0,30,,,1.0,-3.0,-1.25,-1.25,0.5975,0.5951,0.5975,0.0,0.0,177
AB1,3,True,1,AB,1,1,0,0,1,2,1,7,37,3922,AB,1.0,-3.0,-1.06,-2.01,0.6186,0.6064,0.6186,0.0,0.0,147
