# fecha: 2026-09-15 11:48:18
# rama: 3T_temporal
# tag: PH1
# sha_mundo_temporal: 1f447657faf00ef8
# sha_corre_3T: 95ed871994fd44c5
# python: 3.14.2
# numpy: 2.4.3
# arms: ['C1', 'C3', 'C3C']
# seeds: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]
# kwargs: {'T': 100000, 'nkmax': 300, 'wclip': 3.0}
# constantes: {'L': 40, 'NK': 30, 'NKMAX': 90, 'K': 3, 'R_VAL': {'comida': 1.0, 'veneno': -3.0, 'neutro': 0.0}, 'E_VAL': {'comida': 0.8, 'veneno': -0.4, 'neutro': 0.1}}
# segundos: 31.6
arm,seed,W_AA,W_AB,W_BA,W_BB,sep,Wp_AA,Wn_AA,Wp_AB,Wn_AB,solap_A,solap_B,solap_A_s0,solap_A_s1,solap_A_s2,solap_A_s3,solap_A_s4,rho_s0,rho_s1,rho_s2,rho_s3,rho_s4,rho_cod_s0,rho_cod_s1,rho_cod_s2,rho_cod_s3,rho_cod_s4,splits,celdas,t_pool,fracTemp_med,acc_q1,acc_q2,acc_q3,acc_q4,base_q1,base_q2,base_q3,base_q4,lift_q1,lift_q2,lift_q3,lift_q4,early_acc,early_base,early_lift,early_nbit,nAB_q1,nAB_q2,nAB_q3,nAB_q4,nAA_q1,nAA_q2,nAA_q3,nAA_q4,nB_q1,nB_q2,nB_q3,nB_q4,deaths,Rtot,E_fin
C1,1,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.523,0.4965,0.5086,0.482,0.5265,0.4982,0.5023,0.4941,-0.0035,-0.0017,0.0063,-0.0121,0.45,0.5203,-0.0703,123,523,640,648,644,477,649,626,692,1112,1278,1288,1305,234,-4877.0,1.474
C1,2,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.501,0.5149,0.5054,0.4781,0.4941,0.506,0.4967,0.4888,0.0069,0.0089,0.0088,-0.0107,0.5253,0.5,0.0253,196,517,639,650,599,515,602,636,654,1008,1269,1269,1200,214,-4816.0,1.374
C1,3,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.4995,0.4984,0.5101,0.5092,0.5058,0.5027,0.4989,0.5068,-0.0063,-0.0043,0.0112,0.0024,0.4605,0.5128,-0.0523,156,507,641,685,606,508,645,658,584,1039,1298,1339,1221,207,-4746.0,1.074
C1,4,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.462,0.5067,0.5008,0.5088,0.4715,0.4973,0.5075,0.5081,-0.0095,0.0094,-0.0067,0.0007,0.5854,0.5838,0.0016,197,535,716,658,636,623,697,656,614,1033,1398,1352,1291,256,-5225.0,1.344
C1,5,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.4867,0.5202,0.5234,0.4978,0.4912,0.5107,0.5132,0.4909,-0.0045,0.0095,0.0103,0.0069,0.53,0.5305,-0.0005,213,547,632,648,665,577,583,590,671,1083,1268,1307,1288,208,-4771.0,1.298
C1,6,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.4975,0.5,0.4845,0.4834,0.4957,0.4994,0.4978,0.4904,0.0017,0.0006,-0.0133,-0.0069,0.5543,0.5126,0.0417,357,590,625,608,628,596,625,647,671,1166,1247,1242,1252,250,-5166.0,1.486
C1,7,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.494,0.4895,0.5228,0.512,0.4998,0.492,0.5182,0.5221,-0.0058,-0.0025,0.0046,-0.0101,0.561,0.5668,-0.0059,187,532,650,666,621,545,678,608,592,1074,1288,1370,1323,211,-4800.0,1.462
C1,8,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.4672,0.4841,0.5083,0.5071,0.4856,0.4989,0.4925,0.5081,-0.0185,-0.0148,0.0159,-0.001,0.5,0.5578,-0.0578,147,477,639,670,644,544,681,648,626,964,1312,1279,1314,219,-5067.0,1.25
C1,9,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.4771,0.5135,0.5093,0.5055,0.5004,0.5105,0.5026,0.5018,-0.0233,0.003,0.0067,0.0037,0.4868,0.522,-0.0352,159,532,685,686,646,583,649,661,632,1115,1393,1361,1287,234,-5026.0,1.382
C1,10,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.4925,0.514,0.5092,0.5045,0.504,0.514,0.5051,0.5041,-0.0115,0.0,0.0041,0.0004,0.4857,0.5395,-0.0538,152,522,660,666,617,538,624,642,606,1077,1356,1337,1241,220,-4765.0,1.068
C1,11,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.4991,0.5208,0.5113,0.4941,0.4895,0.5169,0.5091,0.4915,0.0096,0.0039,0.0022,0.0026,0.4756,0.471,0.0046,155,557,677,632,666,559,623,604,682,1070,1391,1282,1301,239,-4872.0,1.078
C1,12,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.5008,0.5041,0.496,0.5004,0.5061,0.5014,0.5037,0.5113,-0.0053,0.0027,-0.0077,-0.0109,0.5343,0.5212,0.0131,424,607,609,626,619,605,599,636,618,1242,1213,1283,1292,227,-4913.0,0.578
C1,13,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.5071,0.5274,0.4897,0.5083,0.5103,0.5212,0.4921,0.514,-0.0031,0.0062,-0.0023,-0.0058,0.4839,0.4918,-0.0079,183,569,654,644,616,553,586,671,596,1167,1352,1272,1284,226,-4735.0,1.484
C1,14,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.5182,0.495,0.5,0.5122,0.5323,0.4933,0.5,0.5095,-0.0141,0.0017,0.0,0.0026,0.5,0.5333,-0.0333,150,499,691,644,631,464,705,644,601,1096,1359,1286,1282,222,-4777.0,1.476
C1,15,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.5138,0.4811,0.4883,0.5133,0.5055,0.4937,0.4883,0.5,0.0083,-0.0126,0.0001,0.0133,0.5982,0.5919,0.0063,272,558,638,628,637,528,688,658,604,1108,1295,1225,1241,243,-4973.0,1.46
C1,16,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.508,0.5114,0.4854,0.4944,0.5129,0.5168,0.5051,0.5026,-0.005,-0.0055,-0.0197,-0.0082,0.5119,0.5257,-0.0138,175,479,696,614,573,464,665,651,586,991,1458,1289,1173,228,-4736.0,1.366
C1,17,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.4828,0.4943,0.5307,0.5134,0.509,0.4962,0.5134,0.5201,-0.0262,-0.0019,0.0173,-0.0067,0.5772,0.5579,0.0193,337,590,655,666,613,632,670,589,581,1265,1305,1324,1296,235,-4892.0,1.47
C1,18,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.514,0.5199,0.5034,0.4767,0.4944,0.499,0.4993,0.4847,0.0196,0.0208,0.0041,-0.008,0.5545,0.545,0.0094,222,605,680,676,675,572,628,667,741,1149,1305,1339,1330,239,-5188.0,1.492
C1,19,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,3,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,,,0.5151,0.4804,0.4748,0.4793,0.5017,0.4941,0.4826,0.4916,0.0134,-0.0137,-0.0078,-0.0123,0.5611,0.5489,0.0122,399,684,576,622,637,644,623,688,692,1337,1169,1224,1283,260,-5422.0,1.476
